Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: F,  Credits: 3,  Student Count: 1,  Pct: 4.55
Grade: W,  Credits: 3,  Student Count: 2,  Pct: 9.09
,,,
Course: AG 421  Student Total: 17  Credit Hours: 3  Grade Pts: 89.1  GPA Hours: 39  GPA: 2.28,,,
Grade: A,  Credits: 3,  Student Count: 5,  Pct: 29.41
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 5.88
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 11.76
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 29.41
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 23.53
,,,
Course: LEAD 242  Student Total: 23  Credit Hours: 3  Grade Pts: 136.2  GPA Hours: 48  GPA: 2.84,,,
Grade: A,  Credits: 3,  Student Count: 6,  Pct: 26.09
Grade: A-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 13.04
Grade: B+,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 4.35
Grade: F,  Credits: 3,  Student Count: 2,  Pct: 8.7
Grade: W,  Credits: 3,  Student Count: 7,  Pct: 30.43
,,,
Course: LEAD 442  Student Total: 11  Credit Hours: 3  Grade Pts: 53.4  GPA Hours: 21  GPA: 2.54,,,
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 18.18
Grade: B,  Credits: 3,  Student Count: 2,  Pct: 18.18
Grade: C,  Credits: 3,  Student Count: 1,  Pct: 9.09
Grade: C-,  Credits: 3,  Student Count: 1,  Pct: 9.09
Grade: D-,  Credits: 3,  Student Count: 1,  Pct: 9.09
Grade: W,  Credits: 3,  Student Count: 4,  Pct: 36.36
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AGRI 411  Student Total: 32  Credit Hours: 3  Grade Pts: 248.1  GPA Hours: 78  GPA: 3.18,,,
Grade: A,  Credits: 3,  Student Count: 14,  Pct: 43.75
Grade: A-,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: B,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: B+,  Credits: 3,  Student Count: 2,  Pct: 6.25
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: D,  Credits: 3,  Student Count: 1,  Pct: 3.13
Grade: F,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: S,  Credits: 3,  Student Count: 3,  Pct: 9.38
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 9.38
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 99  Credit Hours: 4  Grade Pts: 1015.2  GPA Hours: 316  GPA: 3.21,,,
Grade: A,  Credits: 4,  Student Count: 34,  Pct: 34.34
Grade: A-,  Credits: 4,  Student Count: 7,  Pct: 7.07
Grade: B,  Credits: 4,  Student Count: 11,  Pct: 11.11
Grade: B+,  Credits: 4,  Student Count: 6,  Pct: 6.06
Grade: B-,  Credits: 4,  Student Count: 5,  Pct: 5.05
Grade: C,  Credits: 4,  Student Count: 6,  Pct: 6.06
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 4.04
Grade: C-,  Credits: 4,  Student Count: 2,  Pct: 2.02
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.01
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 3.03
Grade: S,  Credits: 4,  Student Count: 16,  Pct: 16.16
Grade: W,  Credits: 4,  Student Count: 4,  Pct: 4.04
,,,
Course: ANS 280  Student Total: 14  Credit Hours: 4  Grade Pts: 164  GPA Hours: 56  GPA: 2.93,,,
Grade: A,  Credits: 4,  Student Count: 3,  Pct: 21.43
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 7.14
Grade: B,  Credits: 4,  Student Count: 6,  Pct: 42.86
Grade: B+,  Credits: 4,  Student Count: 1,  Pct: 7.14
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 14.29
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 7.14
,,,
Course: ANS 311  Student Total: 60  Credit Hours: 3  Grade Pts: 504.9  GPA Hours: 171  GPA: 2.95,,,
Grade: A,  Credits: 3,  Student Count: 8,  Pct: 13.33
Grade: A-,  Credits: 3,  Student Count: 14,  Pct: 23.33
Grade: B,  Credits: 3,  Student Count: 8,  Pct: 13.33
Grade: B+,  Credits: 3,  Student Count: 5,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 9,  Pct: 15
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.33
Grade: C+,  Credits: 3,  Student Count: 1,  Pct: 1.67
Grade: C-,  Credits: 3,  Student Count: 4,  Pct: 6.67
Grade: D,  Credits: 3,  Student Count: 4,  Pct: 6.67
Grade: D+,  Credits: 3,  Student Count: 2,  Pct: 3.33
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 5
,,,
Course: ANS 314  Student Total: 40  Credit Hours: 4  Grade Pts: 398.8  GPA Hours: 140  GPA: 2.85,,,
Grade: A,  Credits: 4,  Student Count: 9,  Pct: 22.5
Grade: A-,  Credits: 4,  Student Count: 3,  Pct: 7.5
Grade: B,  Credits: 4,  Student Count: 7,  Pct: 17.5
Grade: B+,  Credits: 4,  Student Count: 3,  Pct: 7.5
