Grade Distribution By Course,,,
,,,
,,,
Academic Learning Services,,,
Academic Learning Services,,,
,,,
Grade: U,  Credits: 3,  Student Count: 1,  Pct: 7.69
Grade: W,  Credits: 3,  Student Count: 5,  Pct: 38.46
,,,
College of Agricultural Sci,,,
Agriculture, General,,
,,,
Course: AGRI 411  Student Total: 36  Credit Hours: 3  Grade Pts: 267  GPA Hours: 84  GPA: 3.18,,,
Grade: A,  Credits: 3,  Student Count: 15,  Pct: 41.67
Grade: A-,  Credits: 3,  Student Count: 2,  Pct: 5.56
Grade: B,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: B+,  Credits: 3,  Student Count: 3,  Pct: 8.33
Grade: B-,  Credits: 3,  Student Count: 1,  Pct: 2.78
Grade: F,  Credits: 3,  Student Count: 4,  Pct: 11.11
Grade: S,  Credits: 3,  Student Count: 5,  Pct: 13.89
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 8.33
,,,
College of Agricultural Sci,,,
Animal and Rangeland Sci,,,
,,,
Course: ANS 121  Student Total: 99  Credit Hours: 4  Grade Pts: 1048.8  GPA Hours: 352  GPA: 2.98,,,
Grade: A,  Credits: 4,  Student Count: 17,  Pct: 17.17
Grade: A-,  Credits: 4,  Student Count: 11,  Pct: 11.11
Grade: B,  Credits: 4,  Student Count: 13,  Pct: 13.13
Grade: B+,  Credits: 4,  Student Count: 18,  Pct: 18.18
Grade: B-,  Credits: 4,  Student Count: 12,  Pct: 12.12
Grade: C,  Credits: 4,  Student Count: 2,  Pct: 2.02
Grade: C+,  Credits: 4,  Student Count: 4,  Pct: 4.04
Grade: C-,  Credits: 4,  Student Count: 3,  Pct: 3.03
Grade: D,  Credits: 4,  Student Count: 1,  Pct: 1.01
Grade: D+,  Credits: 4,  Student Count: 1,  Pct: 1.01
Grade: D-,  Credits: 4,  Student Count: 3,  Pct: 3.03
Grade: F,  Credits: 4,  Student Count: 3,  Pct: 3.03
Grade: S,  Credits: 4,  Student Count: 5,  Pct: 5.05
Grade: U,  Credits: 4,  Student Count: 1,  Pct: 1.01
Grade: W,  Credits: 4,  Student Count: 5,  Pct: 5.05
,,,
Course: ANS 280  Student Total: 31  Credit Hours: 4  Grade Pts: 363.6  GPA Hours: 120  GPA: 3.03,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 22.58
Grade: A-,  Credits: 4,  Student Count: 6,  Pct: 19.35
Grade: B,  Credits: 4,  Student Count: 4,  Pct: 12.9
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 6.45
Grade: B-,  Credits: 4,  Student Count: 3,  Pct: 9.68
Grade: C,  Credits: 4,  Student Count: 5,  Pct: 16.13
Grade: C+,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: F,  Credits: 4,  Student Count: 1,  Pct: 3.23
Grade: W,  Credits: 4,  Student Count: 1,  Pct: 3.23
,,,
Course: ANS 302  Student Total: 12  Credit Hours: 4  Grade Pts: 112  GPA Hours: 36  GPA: 3.11,,,
Grade: A,  Credits: 4,  Student Count: 2,  Pct: 16.67
Grade: A-,  Credits: 4,  Student Count: 1,  Pct: 8.33
Grade: B,  Credits: 4,  Student Count: 2,  Pct: 16.67
Grade: B+,  Credits: 4,  Student Count: 2,  Pct: 16.67
Grade: C,  Credits: 4,  Student Count: 1,  Pct: 8.33
Grade: C-,  Credits: 4,  Student Count: 1,  Pct: 8.33
Grade: W,  Credits: 4,  Student Count: 3,  Pct: 25
,,,
Course: ANS 311  Student Total: 58  Credit Hours: 3  Grade Pts: 500.4  GPA Hours: 165  GPA: 3.03,,,
Grade: A,  Credits: 3,  Student Count: 17,  Pct: 29.31
Grade: A-,  Credits: 3,  Student Count: 10,  Pct: 17.24
Grade: B,  Credits: 3,  Student Count: 5,  Pct: 8.62
Grade: B+,  Credits: 3,  Student Count: 7,  Pct: 12.07
Grade: B-,  Credits: 3,  Student Count: 4,  Pct: 6.9
Grade: C,  Credits: 3,  Student Count: 2,  Pct: 3.45
Grade: C+,  Credits: 3,  Student Count: 3,  Pct: 5.17
Grade: D,  Credits: 3,  Student Count: 2,  Pct: 3.45
Grade: F,  Credits: 3,  Student Count: 5,  Pct: 8.62
Grade: W,  Credits: 3,  Student Count: 3,  Pct: 5.17
,,,
Course: ANS 313  Student Total: 25  Credit Hours: 4  Grade Pts: 254.8  GPA Hours: 88  GPA: 2.9,,,
Grade: A,  Credits: 4,  Student Count: 7,  Pct: 28
Grade: B,  Credits: 4,  Student Count: 3,  Pct: 12
